房间号,系统编号,表字,当前已用,购电剩余,上次通讯时间,记录时间
1-939,0005020027,8207.1000,3.1,43.6310,2020/12/4 6:02:57,2020-12-04 06:12:10
1-939,0005020027,8207.5000,0.4,43.2310,2020/12/4 12:03:07,2020-12-04 12:06:23
1-939,0005020027,8208.5000,1.0,42.2310,2020/12/4 18:02:57,2020-12-04 18:04:52
1-939,0005020027,8210.2000,1.7,40.5310,2020/12/4 22:02:56,2020-12-04 22:04:33
1-939,0005020027,8212.9000,2.7,37.8310,2020/12/5 6:02:57,2020-12-05 06:12:54
1-939,0005020027,8213.4000,0.5,37.3310,2020/12/5 12:02:56,2020-12-05 12:05:07
1-939,0005020027,8215.7000,2.3,35.0310,2020/12/5 18:02:56,2020-12-05 18:05:22
1-939,0005020027,8216.4000,0.7,34.3310,2020/12/5 22:02:55,2020-12-05 22:04:39
1-939,0005020027,8217.8000,1.4,32.9310,2020/12/6 6:02:57,2020-12-06 06:06:43
1-939,0005020027,8218.2000,0.4,32.5310,2020/12/6 12:02:56,2020-12-06 12:05:28
1-939,0005020027,8220.1000,1.9,30.6310,2020/12/6 18:02:56,2020-12-06 18:04:46
1-939,0005020027,8221.6000,1.5,29.1310,2020/12/6 22:02:57,2020-12-07 00:06:13
1-939,0005020027,8223.1000,1.5,27.6310,2020/12/7 6:02:57,2020-12-07 06:05:10
